Feature,Importance
V17,0.17032464398599656
V14,0.136363302293682
V12,0.13332605926400004
V10,0.07407348013162479
V16,0.07179221419070769
V11,0.045277296058152394
V9,0.031126732639842256
V4,0.030496322139884714
V18,0.028156246497012868
V7,0.024627129135368978
V26,0.019623968183996924
V3,0.01952527229271799
V21,0.01865555170317021
V1,0.015332814216339577
V2,0.014775287960688928
V6,0.01345142333626812
Time,0.01303319816457738
V27,0.01298930249537962
V20,0.012957454700495436
V8,0.012563914023032861
V22,0.012268038274288507
Amount,0.012020765378241913
V15,0.011887561524118661
V19,0.010361681322918183
V28,0.010268819025372931
V13,0.010175162409163316
V5,0.009921571390587816
V23,0.008443319989619771
V24,0.008300036062774645
V25,0.00788143120997497
